Word,Word Initial,Word Final,Structure,Type,Numeral,Variant
cat,k,t,CVC,word,,
bat,b,t,CVC,word,,
dog,d,g,CVC,word,,
cap,k,b,CVC,word,,
core,k,v,CV,word,,
door,d,v,CV,word,,
sore,s,v,CV,word,,
key,k,v,CV,word,,
dart,d,t,CVC,word,,
kart,k,t,CVC,word,,
dome,d,m,CVC,word,,
comb,k,m,CVC,word,,
cog,k,g,CVC,word,,
ring,r,g,CVC,word,,
king,k,g,CVC,word,,
call,k,l,CVC,word,,
kick,k,k,CVC,word,,
can,k,n,CVC,word,,
cup,k,p,CVC,word,,
sock,s,k,CVC,word,,
duck,d,k,CVC,word,,
back,b,k,CVC,word,,
kiss,k,s,CVC,word,,
cake,k,k,CVC,word,,
bed,b,d,CVC,word,,
bin,b,n,CVC,word,,
bug,b,g,CVC,word,,
bun,b,n,CVC,word,,
bus,b,s,CVC,word,,
fan,f,n,CVC,word,,
hat,h,t,CVC,word,,
hut,h,t,CVC,word,,
jam,j,m,CVC,word,,
jug,j,g,CVC,word,,
leg,l,g,CVC,word,,
lid,l,d,CVC,word,,
lip,l,p,CVC,word,,
log,l,g,CVC,word,,
mop,m,p,CVC,word,,
mug,m,g,CVC,word,,
net,n,t,CVC,word,,
nut,n,t,CVC,word,,
pan,p,n,CVC,word,,
peg,p,g,CVC,word,,
pen,p,n,CVC,word,,
peg,p,g,CVC,word,,
pig,p,g,CVC,word,,
pin,p,n,CVC,word,,
pot,p,t,CVC,word,,
rat,r,t,CVC,word,,
rug,r,g,CVC,word,,
sun,s,n,CVC,word,,
tap,t,p,CVC,word,,
tin,t,n,CVC,word,,
van,v,n,CVC,word,,
vet,v,t,CVC,word,,
web,w,b,CVC,word,,
zip,z,p,CVC,word,,
band,b,d,CVCC,word,,
hand,h,d,CVCC,word,,
lamp,l,p,CVCC,word,,
sand,s,d,CVCC,word,,
frog,f,g,CCVC,word,,
flag,f,g,CCVC,word,,
crab,k,b,CCVC,word,,
slug,s,g,CCVC,word,,
one,w,n,CVC,number,1,symbol
one,w,n,CVC,number,1,word
two,t,v,CV,number,2,symbol
two,t,v,CV,number,2,word
three,th,v,CCV,number,3,symbol
three,th,v,CCV,number,3,word
four,f,v,CV,number,4,symbol
four,f,v,CV,number,4,word
five,f,v,CVC,number,5,symbol
five,f,v,CVC,number,5,word
six,s,s,CVCC,number,6,symbol
six,s,s,CVCC,number,6,word
seven,s,n,CVCVC,number,7,symbol
seven,s,n,CVCVC,number,7,word
eight,,t,VC,number,8,symbol
eight,,t,VC,number,8,word
nine,n,n,CVC,number,9,symbol
nine,n,n,CVC,number,9,word
ten,t,n,CVC,number,10,symbol
ten,t,n,CVC,number,10,word
